Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,2038.199951,2038.199951,1989.680054,2012.660034,4304880000,2012.660034
2016-01-05,2013.780029,2021.939941,2004.1700440000002,2016.709961,3706620000,2016.709961
2016-01-06,2011.709961,2011.709961,1979.050049,1990.2600100000002,4336660000,1990.2600100000002
2016-01-07,1985.319946,1985.319946,1938.8299559999998,1943.089966,5076590000,1943.089966
2016-01-08,1945.969971,1960.4000239999998,1918.459961,1922.030029,4664940000,1922.030029
2016-01-11,1926.119995,1935.6500239999998,1901.0999760000002,1923.6700440000002,4607290000,1923.6700440000002
2016-01-12,1927.8299559999998,1947.380005,1914.3499760000002,1938.680054,4887260000,1938.680054
2016-01-13,1940.339966,1950.3299559999998,1886.410034,1890.280029,5087030000,1890.280029
2016-01-14,1891.680054,1934.469971,1878.930054,1921.839966,5241110000,1921.839966
2016-01-15,1916.680054,1916.680054,1857.8299559999998,1880.3299559999998,5468460000,1880.3299559999998
2016-01-19,1888.660034,1901.439941,1864.5999760000002,1881.3299559999998,4928350000,1881.3299559999998
2016-01-20,1876.180054,1876.180054,1812.290039,1859.3299559999998,6416070000,1859.3299559999998
2016-01-21,1861.459961,1889.8499760000002,1848.97998,1868.9899899999998,5078810000,1868.9899899999998
2016-01-22,1877.4000239999998,1908.8499760000002,1877.4000239999998,1906.9000239999998,4901760000,1906.9000239999998
2016-01-25,1906.280029,1906.280029,1875.969971,1877.0799559999998,4401380000,1877.0799559999998
2016-01-26,1878.790039,1906.72998,1878.790039,1903.630005,4357940000,1903.630005
2016-01-27,1902.52002,1916.9899899999998,1872.699951,1882.949951,4754040000,1882.949951
2016-01-28,1885.219971,1902.959961,1873.6500239999998,1893.359985,4693010000,1893.359985
2016-01-29,1894.0,1940.2399899999998,1894.0,1940.2399899999998,5497570000,1940.2399899999998
